1401661553,80726,
C,4,35000,OPTIDX,BANKNIFTY,1403274600,5380000,CE
C,4,35001,OPTIDX,BANKNIFTY,1403274600,5380000,PE
C,4,35002,OPTIDX,BANKNIFTY,1403274600,5390000,CE
C,4,35003,OPTIDX,BANKNIFTY,1403274600,5390000,PE
C,10,35004,FUTIDX,NIFTY,1403965800,0,XX
C,16,35005,FUTSTK,AARTIIND,1403965800,0,XX
C,3,35006,FUTIDX,FINNIFTY,1406817000,0,XX
C,10,35007,FUTIDX,NIFTY,1406385000,0,XX
C,4,35008,OPTIDX,BANKNIFTY,1403274600,6300000,CE
C,4,35009,OPTIDX,BANKNIFTY,1403274600,6300000,PE
C,3,35010,OPTIDX,FINNIFTY,1403188200,2385000,CE
C,3,35011,OPTIDX,FINNIFTY,1403188200,2385000,PE
C,16,35012,FUTSTK,AARTIIND,1406385000,0,XX
C,16,35013,FUTSTK,ABB,1406385000,0,XX
C,16,35014,FUTSTK,ABBOTINDIA,1406385000,0,XX
C,16,35015,FUTSTK,ABCAPITAL,1406385000,0,XX
C,16,35016,FUTSTK,ABFRL,1406385000,0,XX
C,16,35017,FUTSTK,ACC,1406385000,0,XX
C,16,35018,FUTSTK,ADANIENT,1406385000,0,XX
C,16,35019,FUTSTK,ADANIPORTS,1406385000,0,XX
C,4,35020,FUTIDX,BANKNIFTY,1403879400,0,XX
C,3,35021,OPTIDX,FINNIFTY,1403188200,2640000,CE
C,3,35022,OPTIDX,FINNIFTY,1403188200,2640000,PE
C,4,35023,OPTIDX,BANKNIFTY,1403274600,3250000,CE
C,4,35024,OPTIDX,BANKNIFTY,1403274600,3250000,PE
C,4,35025,FUTIDX,MIDCPNIFTY,1403706600,0,XX
C,16,35026,FUTSTK,ALKEM,1406385000,0,XX
C,16,35027,FUTSTK,AMBUJACEM,1406385000,0,XX
C,16,35028,FUTSTK,ABB,1403965800,0,XX
C,16,35029,FUTSTK,ABBOTINDIA,1403965800,0,XX
